ticker,name,version
3001.T,片倉工業,1.10
3002.T,グンゼ,1.10
3003.T,ヒューリック,1.10
3004.T,神栄,1.10
3010.T,ポラリス・ホールディングス,1.10
3011.T,バナーズ,1.10
3020.T,アプライド,1.10
3021.T,パシフィックネット,1.10
3023.T,ラサ商事,1.10
3024.T,クリエイト,1.10
3028.T,アルペン,1.10
3030.T,ハブ,1.10
3031.T,ラクーンホールディングス,1.10
3034.T,クオールホールディングス,1.10
3035.T,ケイティケイ,1.10
3036.T,アルコニックス,1.10
3038.T,神戸物産,1.10
3040.T,ソリトンシステムズ,1.10
3041.T,ビューティカダンホールディングス,1.10
3042.T,セキュアヴェイル,1.10
3045.T,カワサキ,1.10
3046.T,ジンズホールディングス,1.10
3048.T,ビックカメラ,1.10
3050.T,ＤＣＭホールディングス,1.10
3053.T,ペッパーフードサービス,1.10
3054.T,ハイパー,1.10
3058.T,三洋堂ホールディングス,1.10
3059.T,ヒラキ,1.10
3063.T,ジェイグループホールディングス,1.10
3064.T,ＭｏｎｏｔａＲＯ,1.10
3065.T,ライフフーズ,1.10
3067.T,東京一番フーズ,1.10
3068.T,ＷＤＩ,1.10
3069.T,ＪＦＬＡホールディングス,1.10
3070.T,ジェリービーンズグループ,1.10
3071.T,ストリーム,1.10
3075.T,銚子丸,1.10
3076.T,あい　ホールディングス,1.10
3077.T,ホリイフードサービス,1.10
3079.T,ディーブイエックス,1.10
3080.T,ジェーソン,1.10
3082.T,きちりホールディングス,1.10
3083.T,スターシーズ,1.10
3086.T,Ｊ．フロント　リテイリング,1.10
3087.T,ドトール・日レスホールディングス,1.10
3088.T,マツキヨココカラ＆カンパニー,1.10
3089.T,テクノアルファ,1.10
3091.T,ブロンコビリー,1.10
3092.T,ＺＯＺＯ,1.10
3093.T,トレジャー・ファクトリー,1.10
3096.T,オーシャンシステム,1.10
3097.T,物語コーポレーション,1.10
3099.T,三越伊勢丹ホールディングス,1.10
3101.T,東洋紡,1.10
3103.T,ユニチカ,1.10
3104.T,富士紡ホールディングス,1.10
3105.T,日清紡ホールディングス,1.10
3106.T,倉敷紡績,1.10
3107.T,ダイワボウホールディングス,1.10
3109.T,シキボウ,1.10
3110.T,日東紡績,1.10
3111.T,オーミケンシ,1.10
3113.T,ＵＮＩＶＡ・Ｏａｋホールディングス,1.10
3116.T,トヨタ紡織,1.10
3121.T,マーチャント・バンカーズ,1.10
3123.T,サイボー,1.10
3131.T,シンデン・ハイテックス,1.10
3132.T,マクニカホールディングス,1.10
3133.T,海帆,1.10
3134.T,Ｈａｍｅｅ,1.10
3135.T,マーケットエンタープライズ,1.10
3137.T,ファンデリー,1.10
3138.T,富士山マガジンサービス,1.10
3139.T,ラクト・ジャパン,1.10
3140.T,ＢＲＵＮＯ,1.10
3143.T,オーウイル,1.10
3148.T,クリエイトＳＤホールディングス,1.10
3150.T,グリムス,1.10
3151.T,バイタルケーエスケー・ホールディングス,1.10
3153.T,八洲電機,1.10
3154.T,メディアスホールディングス,1.10
3156.T,レスター,1.10
3157.T,ジオリーブグループ,1.10
3159.T,丸善ＣＨＩホールディングス,1.10
3160.T,大光,1.10
3161.T,アゼアス,1.10
3166.T,ＯＣＨＩホールディングス,1.10
3167.T,ＴＯＫＡＩホールディングス,1.10
3168.T,ＭＥＲＦ,1.10
3169.T,ミサワ,1.10
3172.T,ティーライフ,1.10
3173.T,Ｃｏｍｉｎｉｘ,1.10
3174.T,ハピネス・アンド・ディ,1.10
3175.T,エー・ピーホールディングス,1.10
3176.T,三洋貿易,1.10
3177.T,ありがとうサービス,1.10
3178.T,チムニー,1.10
3179.T,シュッピン,1.10
3180.T,ビューティガレージ,1.10
3181.T,買取王国,1.10
3182.T,オイシックス・ラ・大地,1.10
3183.T,ウイン・パートナーズ,1.10
3184.T,ＩＣＤＡホールディングス,1.10
3185.T,夢展望,1.10
3186.T,ネクステージ,1.10
3187.T,ミラタップ,1.10
3189.T,ＡＮＡＰホールディングス,1.10
3190.T,ホットマン,1.10
3191.T,ジョイフル本田,1.10
3192.T,白鳩,1.10
3193.T,エターナルホスピタリティグループ,1.10
3195.T,ジェネレーションパス,1.10
3196.T,ホットランドホールディングス,1.10
3197.T,すかいらーくホールディングス,1.10
3198.T,ＳＦＰホールディングス,1.10
3199.T,綿半ホールディングス,1.10
3201.T,日本毛織,1.10
3202.T,ダイトウボウ,1.10
3204.T,トーア紡コーポレーション,1.10
3205.T,ダイドーリミテッド,1.10
3221.T,ヨシックスホールディングス,1.10
3222.T,ユナイテッド・スーパーマーケット・ホールディングス,1.10
3223.T,エスエルディー,1.10
3224.T,ゼネラル・オイスター,1.10
3231.T,野村不動産ホールディングス,1.10
3232.T,三重交通グループホールディングス,1.10
3236.T,プロパスト,1.10
3237.T,イントランス,1.10
3238.T,セントラル総合開発,1.10
3241.T,ウィル,1.10
3242.T,アーバネットコーポレーション,1.10
3245.T,ディア・ライフ,1.10
3246.T,コーセーアールイー,1.10
3248.T,アールエイジ,1.10
3252.T,地主,1.10
3261.T,グランディーズ,1.10
3266.T,ファンドクリエーショングループ,1.10
3267.T,フィル・カンパニー,1.10
3271.T,ＴＨＥグローバル社,1.10
3276.T,ＪＰＭＣ,1.10
3277.T,サンセイランディック,1.10
3280.T,エストラスト,1.10
3284.T,フージャースホールディングス,1.10
3286.T,トラストホールディングス,1.10
3288.T,オープンハウスグループ,1.10
3289.T,東急不動産ホールディングス,1.10
3291.T,飯田グループホールディングス,1.10
3293.T,アズマハウス,1.10
3294.T,イーグランド,1.10
3297.T,東武住販,1.10
3299.T,ムゲンエステート,1.10
3300.T,アンビション　ＤＸ　ホールディングス,1.10
3302.T,帝国繊維,1.10
3306.T,日本製麻,1.10
3315.T,日本コークス工業,1.10
3317.T,フライングガーデン,1.10
3320.T,クロスプラス,1.10
3321.T,ミタチ産業,1.10
3323.T,レカム,1.10
3326.T,ランシステム,1.10
3329.T,東和フードサービス,1.10
3333.T,あさひ,1.10
3349.T,コスモス薬品,1.10
3350.T,メタプラネット,1.10
3352.T,バッファロー,1.10
3353.T,メディカル一光グループ,1.10
3355.T,クリヤマホールディングス,1.10
3358.T,Ｔｒａｉｌｈｅａｄ　Ｇｌｏｂａｌ　Ｈｏｌｄｉｎｇｓ,1.10
3359.T,ｃｏｔｔａ,1.10
3360.T,シップヘルスケアホールディングス,1.10
3361.T,トーエル,1.10
3370.T,フジタコーポレーション,1.10
3371.T,ソフトクリエイトホールディングス,1.10
3372.T,関門海,1.10
3374.T,内外テック,1.10
3375.T,ＺＯＡ,1.10
3377.T,バイク王＆カンパニー,1.10
3382.T,セブン＆アイ・ホールディングス,1.10
3386.T,コスモ・バイオ,1.10
3387.T,クリエイト・レストランツ・ホールディングス,1.10
3388.T,明治電機工業,1.10
3391.T,ツルハホールディングス,1.10
3392.T,デリカフーズホールディングス,1.10
3393.T,スターティアホールディングス,1.10
3395.T,サンマルクホールディングス,1.10
3396.T,フェリシモ,1.10
3397.T,トリドールホールディングス,1.10
3399.T,丸千代山岡家,1.10
3401.T,帝人,1.10
3402.T,東レ,1.10
3405.T,クラレ,1.10
3407.T,旭化成,1.10
3409.T,北紡,1.10
3415.T,ＴＯＫＹＯ　ＢＡＳＥ,1.10
3416.T,ピクスタ,1.10
3417.T,大木ヘルスケアホールディングス,1.10
3418.T,バルニバービ,1.10
3420.T,ケー・エフ・シー,1.10
3421.T,稲葉製作所,1.10
3422.T,Ｊ－ＭＡＸ,1.10
3423.T,エスイー,1.10
3426.T,アトムリビンテック,1.10
3431.T,宮地エンジニアリンググループ,1.10
3433.T,トーカロ,1.10
3434.T,アルファＣｏ,1.10
3435.T,サンコーテクノ,1.10
3436.T,ＳＵＭＣＯ,1.10
3437.T,特殊電極,1.10
3439.T,三ツ知,1.10
3440.T,日創グループ,1.10
3441.T,山王,1.10
3443.T,川田テクノロジーズ,1.10
3444.T,菊池製作所,1.10
3445.T,ＲＳ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,1.10
3446.T,ジェイテックコーポレーション,1.10
3447.T,信和,1.10
3448.T,清鋼材,1.10
3449.T,テクノフレックス,1.10
3450.T,サトウ産業,1.10
3452.T,ビーロット,1.10
3454.T,ファーストブラザーズ,1.10
3457.T,Ａｎｄ　Ｄｏホールディングス,1.10
3461.T,パルマ,1.10
3465.T,ケイアイスター不動産,1.10
3467.T,アグレ都市デザイン,1.10
3469.T,デュアルタップ,1.10
3474.T,Ｇ－ＦＡＣＴＯＲＹ,1.10
3475.T,グッドコムアセット,1.10
3477.T,フォーライフ,1.10
3479.T,ティーケーピー,1.10
3480.T,ジェイ・エス・ビー,1.10
3482.T,ロードスターキャピタル,1.10
3483.T,翔栄,1.10
3484.T,イノベーションホールディングス,1.10
3486.T,グローバル・リンク・マネジメント,1.10
3489.T,フェイスネットワーク,1.10
3490.T,アズ企画設計,1.10
3491.T,ＧＡ　ｔｅｃｈｎｏｌｏｇｉｅｓ,1.10
3494.T,マリオン,1.10
3495.T,香陵住販,1.10
3496.T,アズーム,1.10
3498.T,霞ヶ関キャピタル,1.10
3501.T,ＳＵＭＩＮＯＥ,1.10
3512.T,日本フエルト,1.10
3513.T,イチカワ,1.10
3521.T,テルマー湯ホールディングス,1.10
3524.T,日東製網,1.10
3529.T,アツギ,1.10
3536.T,アクサスホールディングス,1.10
3537.T,昭栄薬品,1.10
3538.T,ウイルプラスホールディングス,1.10
3539.T,ＪＭホールディングス,1.10
3541.T,農業総合研究所,1.10
3542.T,ベガコーポレーション,1.10
3543.T,コメダホールディングス,1.10
3544.T,サツドラホールディングス,1.10
3546.T,アレンザホールディングス,1.10
3547.T,ユニシアホールディングス,1.10
3548.T,バロックジャパンリミテッド,1.10
3549.T,クスリのアオキホールディングス,1.10
3550.T,スタジオアタオ,1.10
3551.T,ダイニック,1.10
3553.T,共和レザー,1.10
3556.T,リネットジャパングループ,1.10
3557.T,ユナイテッド＆コレクティブ,1.10
3558.T,ジェイドグループ,1.10
3559.T,ピーバンドットコム,1.10
3560.T,ほぼ日,1.10
3561.T,力の源ホールディングス,1.10
3562.T,Ｎｏ．１,1.10
3563.T,ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ,1.10
3565.T,アセンテック,1.10
3566.T,ユニフォームネクスト,1.10
3569.T,セーレン,1.10
3571.T,ソトー,1.10
3577.T,東海染工,1.10
3580.T,小松マテーレ,1.10
3583.T,オーベクス,1.10
3591.T,ワコールホールディングス,1.10
3593.T,ホギメディカル,1.10
3597.T,自重堂,1.10
3598.T,山喜,1.10
3600.T,フジックス,1.10
3607.T,クラウディアホールディングス,1.10
3608.T,ＴＳＩホールディングス,1.10
3611.T,マツオカコーポレーション,1.10
3612.T,ワールド,1.10
3622.T,ネットイヤーグループ,1.10
3623.T,ビリングシステム,1.10
3624.T,アクセルマーク,1.10
3625.T,テックファームホールディングス,1.10
3626.T,ＴＩＳ,1.10
3627.T,テクミラホールディングス,1.10
3628.T,データホライゾン,1.10
3632.T,グリーホールディングス,1.10
3633.T,ＧＭＯペパボ,1.10
3634.T,ソケッツ,1.10
3635.T,コーエーテクモホールディングス,1.10
3636.T,三菱総合研究所,1.10
3639.T,ボルテージ,1.10
3640.T,電算,1.10
3641.T,パピレス,1.10
3645.T,メディカルネット,1.10
3646.T,駅探,1.10
3647.T,アスリナ,1.10
3648.T,ＡＧＳ,1.10
3649.T,ファインデックス,1.10
3652.T,ディジタルメディアプロフェッショナル,1.10
3653.T,モルフォ,1.10
3656.T,ＫＬａｂ,1.10
3657.T,ポールトゥウィンホールディングス,1.10
3659.T,ネクソン,1.10
3660.T,アイスタイル,1.10
3661.T,エムアップホールディングス,1.10
3662.T,エイチームホールディングス,1.10
3663.T,セルシス,1.10
3664.T,モブキャストホールディングス,1.10
3665.T,エニグモ,1.10
3667.T,ｅｎｉｓｈ,1.10
3668.T,コロプラ,1.10
3670.T,協立情報通信,1.10
3671.T,ソフトマックス,1.10
3672.T,オルトプラス,1.10
3673.T,ブロードリーフ,1.10
3674.T,オークファン,1.10
3675.T,クロス・マーケティンググループ,1.10
3676.T,デジタルハーツホールディングス,1.10
3678.T,メディアドゥ,1.10
3679.T,じげん,1.10
3680.T,ホットリンク,1.10
3681.T,ブイキューブ,1.10
3682.T,エンカレッジ・テクノロジ,1.10
3683.T,サイバーリンクス,1.10
3686.T,ディー・エル・イー,1.10
3687.T,フィックスターズ,1.10
3690.T,イルグルム,1.10
3691.T,デジタルプラス,1.10
3692.T,ＦＦＲＩセキュリティ,1.10
3694.T,オプティム,1.10
3695.T,ＧＭＯプロダクトプラットフォーム,1.10
3696.T,セレス,1.10
3697.T,ＳＨＩＦＴ,1.10
3698.T,ＣＲＩ・ミドルウェア,1.10
3708.T,特種東海製紙,1.10
3710.T,ジョルダン,1.10
3712.T,情報企画,1.10
3719.T,ＡＩストーム,1.10
3723.T,日本ファルコム,1.10
3726.T,フォーシーズＨＤ,1.10
3727.T,アプリックス,1.10
3733.T,ソフトウェア・サービス,1.10
3741.T,セック,1.10
3744.T,サイオス,1.10
3747.T,インタートレード,1.10
3750.T,ＡＤＲ１２０Ｓ,1.10
3753.T,フライトソリューションズ,1.10
3758.T,アエリア,1.10
3760.T,ケイブ,1.10
3762.T,テクマトリックス,1.10
3763.T,プロシップ,1.10
3765.T,ガンホー・オンライン・エンターテイメント,1.10
3766.T,システムズ・デザイン,1.10
3768.T,リスクモンスター,1.10
3769.T,ＧＭＯペイメントゲートウェイ,1.10
3771.T,システムリサーチ,1.10
3772.T,ウェルス・マネジメント,1.10
3773.T,アドバンスト・メディア,1.10
3774.T,インターネットイニシアティブ,1.10
3776.T,ブロードバンドタワー,1.10
3777.T,環境フレンドリーホールディングス,1.10
3778.T,さくらインターネット,1.10
3779.T,ジェイ・エスコムホールディングス,1.10
3787.T,テクノマセマティカル,1.10
3788.T,ＧＭＯグローバルサイン・ホールディングス,1.10
3791.T,ＩＧポート,1.10
3793.T,ドリコム,1.10
3796.T,いい生活,1.10
3798.T,ＵＬＳグループ,1.10
3799.T,キーウェアソリューションズ,1.10
3800.T,ユニリタ,1.10
3802.T,エコミック,1.10
3803.T,イメージ情報開発,1.10
3804.T,システム　ディ,1.10
3807.T,フィスコ,1.10
3810.T,サイバーステップホールディングス,1.10
3815.T,メディア工房,1.10
3816.T,大和コンピューター,1.10
3817.T,ＳＲＡホールディングス,1.10
3823.T,ＴＨＥ　ＷＨＹ　ＨＯＷ　ＤＯ　ＣＯＭＰＡＮＹ,1.10
3825.T,リミックスポイント,1.10
3826.T,システムインテグレータ,1.10
3834.T,朝日ネット,1.10
3835.T,ｅＢＡＳＥ,1.10
3836.T,アバントグループ,1.10
3837.T,アドソル日進,1.10
3839.T,ＯＤＫソリューションズ,1.10
3840.T,パス,1.10
3841.T,ジーダット,1.10
3842.T,ネクストジェン,1.10
3843.T,フリービット,1.10
3844.T,コムチュア,1.10
3845.T,アイフリークモバイル,1.10
3848.T,データ・アプリケーション,1.10
3850.T,エヌ・ティ・ティ・データ・イントラマート,1.10
3851.T,日本一ソフトウェア,1.10
3853.T,アステリア,1.10
3854.T,アイル,1.10
3856.T,Ａｂａｌａｎｃｅ,1.10
3858.T,ユビキタスＡＩ,1.10
3861.T,王子ホールディングス,1.10
3863.T,日本製紙,1.10
3864.T,三菱製紙,1.10
3865.T,北越コーポレーション,1.10
3877.T,中越パルプ工業,1.10
3878.T,巴川コーポレーション,1.10
3880.T,大王製紙,1.10
3891.T,ニッポン高度紙工業,1.10
3892.T,岡山製紙,1.10
3895.T,ハビックス,1.10
3896.T,阿波製紙,1.10
3900.T,クラウドワークス,1.10
3901.T,マークラインズ,1.10
3902.T,メディカル・データ・ビジョン,1.10
3903.T,ｇｕｍｉ,1.10
3904.T,カヤック,1.10
3905.T,データセクション,1.10
3907.T,シリコンスタジオ,1.10
3908.T,コラボス,1.10
3909.T,ショーケース,1.10
3910.T,エムケイシステム,1.10
3911.T,Ａｉｍｉｎｇ,1.10
3912.T,モバイルファクトリー,1.10
3913.T,ＧｒｅｅｎＢｅｅ,1.10
3914.T,ＪＩＧ－ＳＡＷ,1.10
3915.T,テラスカイ,1.10
3916.T,デジタル・インフォメーション・テクノロジー,1.10
3917.T,アイリッジ,1.10
3918.T,ＰＣＩホールディングス,1.10
3920.T,アイビーシー,1.10
3921.T,ネオジャパン,1.10
3922.T,ＰＲ　ＴＩＭＥＳ,1.10
3923.T,ラクス,1.10
3925.T,ダブルスタンダード,1.10
3926.T,オープンドア,1.10
3927.T,フーバーブレイン,1.10
3928.T,マイネット,1.10
3929.T,ソーシャルワイヤー,1.10
3930.T,はてな,1.10
3931.T,バリューゴルフ,1.10
3932.T,アカツキ,1.10
3933.T,チエル,1.10
3934.T,ベネフィットジャパン,1.10
3935.T,エディア,1.10
3936.T,グローバルウェイ,1.10
3937.T,Ｕｂｉｃｏｍホールディングス,1.10
3939.T,カナミックネットワーク,1.10
3940.T,ノムラシステムコーポレーション,1.10
3941.T,レンゴー,1.10
3943.T,大石産業,1.10
3944.T,古林紙工,1.10
3945.T,スーパーバッグ,1.10
3946.T,トーモク,1.10
3947.T,ダイナパック,1.10
3948.T,光ビジネスフォーム,1.10
3950.T,ザ・パック,1.10
3951.T,朝日印刷,1.10
3953.T,大村紙業,1.10
3954.T,昭和パックス,1.10
3955.T,イムラ,1.10
3958.T,笹徳印刷,1.10
3962.T,チェンジホールディングス,1.10
3963.T,シンクロ・フード,1.10
3964.T,オークネット,1.10
3965.T,キャピタル・アセット・プランニング,1.10
3967.T,エルテス,1.10
3968.T,セグエグループ,1.10
3969.T,エイトレッド,1.10
3970.T,イノベーション,1.10
3974.T,ＳＣＡＴ,1.10
3976.T,シャノン,1.10
3979.T,うるる,1.10
3981.T,ビーグリー,1.10
3983.T,オロ,1.10
3984.T,ユーザーローカル,1.10
3985.T,テモナ,1.10
3986.T,ビーブレイクシステムズ,1.10
3987.T,エコモット,1.10
3988.T,ＳＹＳホールディングス,1.10
3989.T,シェアリングテクノロジー,1.10
3991.T,ウォンテッドリー,1.10
3992.T,ニーズウェル,1.10
3993.T,ＰＫＳＨＡ　Ｔｅｃｈｎｏｌｏｇｙ,1.10
3994.T,マネーフォワード,1.10
3996.T,サインポスト,1.10
3997.T,トレードワークス,1.10
3998.T,すららネット,1.10
4004.T,レゾナック・ホールディングス,1.10
4005.T,住友化学,1.10
4008.T,住友精化,1.10
4011.T,ヘッドウォータース,1.10
4012.T,アクシス,1.10
4013.T,勤次郎,1.10
4014.T,カラダノート,1.10
4015.T,ペイクラウドホールディングス,1.10
4016.T,ＭＩＴホールディングス,1.10
4017.T,クリーマ,1.10
4019.T,スタメン,1.10
4020.T,ビートレンド,1.10
4021.T,日産化学,1.10
4022.T,ラサ工業,1.10
4023.T,クレハ,1.10
4025.T,多木化学,1.10
4026.T,神島化学工業,1.10
4027.T,テイカ,1.10
4028.T,石原産業,1.10
4031.T,片倉コープアグリ,1.10
4040.T,南海化学,1.10
4041.T,日本曹達,1.10
4042.T,東ソー,1.10
